67,MALE.,MALE.,2416,1264,52.3,2.36,824,34.1,2.24
68,FEMALE.,FEMALE.,2689,1555,57.8,2.21,998,37.1,2.16
69,WHITE,WHITE,3664,2031,55.4,1.9,1402,38.3,1.86
70,BLACK,BLACK,1345,775,57.6,3.78,415,30.9,3.53
71,HISPANIC ORIGIN,HISPANIC ORIGIN,105,20,19.2,14.0,19,17.8,13.6
72,HAWAII TOTAL,HAWAII TOTAL,833,438,52.6,1.78,391,46.9,1.78
73,MALE.,MALE.,383,202,52.6,2.62,185,48.3,2.63
74,FEMALE.,FEMALE.,450,237,52.6,2.42,206,45.7,2.41
75,WHITE,WHITE,301,175,58.2,2.92,156,51.9,2.96
76,BLACK,BLACK,7,3,39.1,23.09,1,16.7,17.67
77,HISPANIC ORIGIN,HISPANIC ORIGIN,14,5,33.1,20.14,3,19.3,16.88
78,IDAHO TOTAL,IDAHO TOTAL,798,504,63.1,1.51,405,50.7,1.57
79,MALE.,MALE.,396,245,61.9,2.16,198,49.9,2.23
80,FEMALE.,FEMALE.,402,259,64.3,2.12,207,51.5,2.21
81,WHITE,WHITE,779,495,63.5,1.53,399,51.2,1.59
82,BLACK,BLACK,4,1,35.1,26.75,0,0.0,0.0
83,HISPANIC ORIGIN,HISPANIC ORIGIN,32,10,30.5,11.29,8,24.4,10.53
84,ILLINOIS TOTAL,ILLINOIS TOTAL,8561,5434,63.5,0.87,3685,43.0,0.89
85,MALE.,MALE.,4076,2514,61.7,1.27,1747,42.9,1.3
86,FEMALE.,FEMALE.,4485,2921,65.1,1.19,1938,43.2,1.24
87,WHITE,WHITE,6916,4473,64.7,0.96,3068,44.4,1.0
88,BLACK,BLACK,1267,900,71.0,2.58,581,45.8,2.83
89,HISPANIC ORIGIN,HISPANIC ORIGIN,685,186,27.1,4.46,125,18.3,3.88
90,INDIANA TOTAL,INDIANA TOTAL,4191,2329,55.6,1.74,1620,38.7,1.7
91,MALE.,MALE.,2060,1118,54.3,2.48,781,37.9,2.42
92,FEMALE.,FEMALE.,2131,1211,56.8,2.43,839,39.4,2.4
93,WHITE,WHITE,3828,2198,57.4,1.81,1532,40.0,1.79
94,BLACK,BLACK,306,112,36.7,7.55,76,24.9,6.77
95,HISPANIC ORIGIN,HISPANIC ORIGIN,65,25,38.5,21.44,10,14.6,15.54
96,IOWA TOTAL,IOWA TOTAL,2059,1475,71.7,1.5,1080,52.5,1.66
97,MALE.,MALE.,1015,693,68.2,2.21,502,49.4,2.37
98,FEMALE.,FEMALE.,1044,783,75.0,2.02,579,55.4,2.32
99,WHITE,WHITE,1965,1441,73.3,1.51,1061,54.0,1.7
100,BLACK,BLACK,41,23,56.0,14.08,15,35.7,13.6
101,HISPANIC ORIGIN,HISPANIC ORIGIN,17,13,79.5,23.27,7,41.9,28.46
102,KANSAS TOTAL,KANSAS TOTAL,1798,1180,65.6,1.58,912,50.7,1.67
103,MALE.,MALE.,870,556,63.9,2.3,447,51.4,2.4
104,FEMALE.,FEMALE.,929,624,67.2,2.18,465,50.1,2.32
105,WHITE,WHITE,1644,1119,68.0,1.63,879,53.5,1.74
106,BLACK,BLACK,103,44,42.4,8.33,25,23.9,7.19
107,HISPANIC ORIGIN,HISPANIC ORIGIN,46,27,58.3,16.23,19,41.6,16.22
108,KENTUCKY TOTAL,KENTUCKY TOTAL,2807,1756,62.6,1.63,972,34.6,1.6
109,MALE.,MALE.,1328,841,63.3,2.36,515,38.8,2.39
110,FEMALE.,FEMALE.,1478,916,61.9,2.25,457,30.9,2.15
111,WHITE,WHITE,2596,1648,63.5,1.69,916,35.3,1.67
112,BLACK,BLACK,174,91,52.4,8.19,43,24.9,7.09
113,HISPANIC ORIGIN,HISPANIC ORIGIN,16,9,54.3,35.21,6,40.0,34.63
114,LOUISIANA TOTAL,LOUISIANA TOTAL,3013,2126,70.6,1.64,1031,34.2,1.7
115,MALE.,MALE.,1433,1002,69.9,2.39,481,33.5,2.46
116,FEMALE.,FEMALE.,1580,1124,71.2,2.25,551,34.9,2.36
117,WHITE,WHITE,2091,1521,72.7,1.92,745,35.6,2.07
118,BLACK,BLACK,908,597,65.7,3.76,281,30.9,3.66
119,HISPANIC ORIGIN,HISPANIC ORIGIN,61,32,52.4,19.73,15,24.7,17.03
120,MAINE TOTAL,MAINE TOTAL,909,743,81.8,1.35,530,58.3,1.72
121,MALE.,MALE.,435,354,81.3,1.97,258,59.3,2.48
122,FEMALE.,FEMALE.,474,389,82.2,1.85,271,57.3,2.39
123,WHITE,WHITE,895,737,82.3,1.34,527,58.9,1.73
124,BLACK,BLACK,1,0,0.0,0.0,0,0.0,0.0
125,HISPANIC ORIGIN,HISPANIC ORIGIN,4,2,57.7,42.58,1,36.4,41.47
126,MARYLAND TOTAL,MARYLAND TOTAL,3726,2369,63.6,1.69,1749,46.9,1.75
127,MALE.,MALE.,1715,1063,62.0,2.51,811,47.3,2.58
128,FEMALE.,FEMALE.,2011,1305,64.9,2.28,938,46.6,2.38
129,WHITE,WHITE,2659,1720,64.7,1.98,1324,49.8,2.08
130,BLACK,BLACK,948,613,64.7,4.02,405,42.7,4.16
131,HISPANIC ORIGIN,HISPANIC ORIGIN,71,16,23.0,16.78,12,17.6,15.17
132,MASSACHUSETTS TOTAL,MASSACHUSETTS TOTAL,4532,2993,66.0,0.85,2351,51.9,0.9
133,MALE.,MALE.,2135,1374,64.4,1.26,1091,51.1,1.31
134,FEMALE.,FEMALE.,2397,1619,67.5,1.16,1260,52.6,1.24
135,WHITE,WHITE,4179,2842,68.0,0.88,2235,53.5,0.94
136,BLACK,BLACK,214,120,56.2,4.98,94,43.9,4.98
137,HISPANIC ORIGIN,HISPANIC ORIGIN,128,28,21.8,6.95,16,12.8,5.62
138,MICHIGAN TOTAL,MICHIGAN TOTAL,6921,5112,73.9,0.79,3623,52.3,0.89
139,MALE.,MALE.,3317,2393,72.1,1.16,1699,51.2,1.29
140,FEMALE.,FEMALE.,3605,2719,75.4,1.07,1924,53.4,1.24
141,WHITE,WHITE,5801,4358,75.1,0.84,3077,53.0,0.97
142,BLACK,BLACK,971,702,72.2,2.58,514,52.9,2.88
143,HISPANIC ORIGIN,HISPANIC ORIGIN,110,58,52.5,11.11,38,34.1,10.55
144,MINNESOTA TOTAL,MINNESOTA TOTAL,3296,2677,81.2,1.35,1929,58.5,1.7
145,MALE.,MALE.,1591,1294,81.3,1.94,925,58.1,2.45
146,FEMALE.,FEMALE.,1705,1383,81.1,1.88,1003,58.8,2.36
147,WHITE,WHITE,3154,2583,81.9,1.36,1884,59.7,1.73
148,BLACK,BLACK,99,62,62.1,11.69,26,26.0,10.57
149,HISPANIC ORIGIN,HISPANIC ORIGIN,42,16,38.9,23.59,5,12.2,15.82
150,MISSISSIPPI TOTAL,MISSISSIPPI TOTAL,1863,1353,72.6,1.46,826,44.3,1.63
151,MALE.,MALE.,860,617,71.7,2.17,404,47.0,2.41
152,FEMALE.,FEMALE.,1003,736,73.4,1.97,422,42.0,2.2
153,WHITE,WHITE,1114,831,74.6,1.84,514,46.2,2.11
154,BLACK,BLACK,738,516,69.9,2.89,308,41.7,3.11
155,HISPANIC ORIGIN,HISPANIC ORIGIN,6,2,24.4,37.94,2,24.4,37.94
156,MISSOURI TOTAL,MISSOURI TOTAL,3797,2748,72.4,1.58,2073,54.6,1.76
157,MALE.,MALE.,1864,1343,72.1,2.26,999,53.6,2.51
158,FEMALE.,FEMALE.,1933,1405,72.7,2.21,1074,55.5,2.46
159,WHITE,WHITE,3353,2500,74.5,1.64,1895,56.5,1.86
160,BLACK,BLACK,394,233,59.1,6.52,162,41.1,6.52
161,HISPANIC ORIGIN,HISPANIC ORIGIN,41,15,37.1,25.78,0,0.0,0.0
162,MONTANA TOTAL,MONTANA TOTAL,619,453,73.2,1.44,376,60.7,1.59
163,MALE.,MALE.,303,216,71.2,2.1,176,58.0,2.29
164,FEMALE.,FEMALE.,315,237,75.1,1.97,200,63.3,2.19
165,WHITE,WHITE,591,444,75.0,1.44,368,62.3,1.61
166,BLACK,BLACK,1,0,56.3,52.74,0,56.3,52.74
167,HISPANIC ORIGIN,HISPANIC ORIGIN,8,5,69.1,21.05,5,61.9,22.12
168,NEBRASKA TOTAL,NEBRASKA TOTAL,1156,841,72.7,1.45,629,54.4,1.62
169,MALE.,MALE.,560,396,70.7,2.13,301,53.7,2.34
170,FEMALE.,FEMALE.,596,445,74.6,1.98,329,55.1,2.26
171,WHITE,WHITE,1089,801,73.6,1.48,612,56.2,1.67
172,BLACK,BLACK,47,33,70.0,8.96,13,27.3,8.72
173,HISPANIC ORIGIN,HISPANIC ORIGIN,20,5,27.0,17.11,1,6.4,9.41
174,NEVADA TOTAL,NEVADA TOTAL,1081,538,49.8,1.59,437,40.4,1.56
175,MALE.,MALE.,539,272,50.4,2.25,220,40.8,2.21
176,FEMALE.,FEMALE.,542,266,49.1,2.24,218,40.1,2.2
177,WHITE,WHITE,944,480,50.9,1.7,395,41.9,1.68
178,BLACK,BLACK,80,37,47.0,7.06,29,36.4,6.8
179,HISPANIC ORIGIN,HISPANIC ORIGIN,137,27,19.8,5.59,23,17.1,5.27
180,NEW HAMPSHIRE TOTAL,NEW HAMPSHIRE TOTAL,832,539,64.8,1.83,347,41.7,1.89
181,MALE.,MALE.,412,271,65.6,2.58,170,41.2,2.68
182,FEMALE.,FEMALE.,420,269,64.0,2.59,177,42.2,2.66
183,WHITE,WHITE,817,533,65.3,1.84,344,42.2,1.91
184,BLACK,BLACK,3,0,0.0,0.0,0,0.0,0.0
185,HISPANIC ORIGIN,HISPANIC ORIGIN,13,1,11.1,15.34,1,11.1,15.34
186,NEW JERSEY TOTAL,NEW JERSEY TOTAL,5918,3698,62.5,0.85,2426,41.0,0.86
187,MALE.,MALE.,2817,1767,62.7,1.23,1161,41.2,1.25
188,FEMALE.,FEMALE.,3101,1931,62.3,1.18,1266,40.8,1.19
189,WHITE,WHITE,4839,3202,66.2,0.92,2152,44.5,0.96
190,BLACK,BLACK,776,412,53.2,2.93,228,29.4,2.67
191,HISPANIC ORIGIN,HISPANIC ORIGIN,546,187,34.2,4.31,98,18.0,3.49
192,NEW MEXICO TOTAL,NEW MEXICO TOTAL,1175,695,59.1,1.6,552,47.0,1.62
193,MALE.,MALE.,566,335,59.2,2.3,274,48.5,2.34
194,FEMALE.,FEMALE.,609,360,59.1,2.22,278,45.6,2.25
195,WHITE,WHITE,1059,632,59.7,1.68,509,48.0,1.71
196,BLACK,BLACK,13,9,70.2,16.85,4,32.0,17.19
197,HISPANIC ORIGIN,HISPANIC ORIGIN,399,189,47.4,4.37,145,36.2,4.21
198,NEW YORK TOTAL,NEW YORK TOTAL,13599,7848,57.7,0.66,6158,45.3,0.66
199,MALE.,MALE.,6379,3627,56.9,0.96,2861,44.9,0.97
200,FEMALE.,FEMALE.,7221,4221,58.5,0.9,3297,45.7,0.91
201,WHITE,WHITE,11083,6843,61.7,0.72,5418,48.9,0.74
202,BLACK,BLACK,1840,845,45.9,2.18,639,34.7,2.09
203,HISPANIC ORIGIN,HISPANIC ORIGIN,1529,476,31.1,2.89,303,19.8,2.49
204,NORTH CAROLINA TOTAL,NORTH CAROLINA TOTAL,5211,3173,60.9,0.82,1864,35.8,0.81
205,MALE.,MALE.,2460,1452,59.0,1.21,891,36.2,1.18
206,FEMALE.,FEMALE.,2751,1721,62.6,1.12,974,35.4,1.11
207,WHITE,WHITE,3901,2496,64.0,0.93,1499,38.4,0.95
208,BLACK,BLACK,1222,649,53.1,2.1,346,28.3,1.9
209,HISPANIC ORIGIN,HISPANIC ORIGIN,83,19,23.0,8.81,8,9.3,6.09
210,NORTH DAKOTA TOTAL,NORTH DAKOTA TOTAL,441,412,93.5,0.83,270,61.3,1.63
211,MALE.,MALE.,217,203,93.6,1.17,137,63.1,2.31
212,FEMALE.,FEMALE.,224,209,93.4,1.17,133,59.5,2.31
213,WHITE,WHITE,426,399,93.7,0.83,262,61.5,1.66
214,BLACK,BLACK,1,0,23.9,30.6,0,0.0,0.0
215,HISPANIC ORIGIN,HISPANIC ORIGIN,2,1,69.6,37.91,0,17.5,31.33
