94,IDAHO-Total .....................................,835,571,68.4,1.43,502,60.1,1.50
95,Male......................................,409,273,66.7,2.06,241,58.9,2.16
96,Female ...................................,426,298,69.9,1.97,261,61.2,2.09
97,White.....................................,816,560,68.6,1.44,493,60.4,1.52
98,Black .....................................,1,–,(B),(B),–,(B),(B)
99,Hispanic origin1 ............................,53,9,(B),(B),6,(B),(B)
101,ILLINOIS-Total .....................................,"8,598","5,819",67.7,.84,"4,779",55.6,.90
102,Male......................................,"4,164","2,738",65.8,1.23,"2,276",54.7,1.29
103,Female ...................................,"4,435","3,082",69.5,1.16,"2,503",56.4,1.24
104,White.....................................,"7,068","4,780",67.6,.93,"3,914",55.4,.99
105,Black .....................................,"1,359",972,71.5,2.48,818,60.2,2.69
106,Hispanic origin1 ............................,597,152,25.6,4.69,127,21.3,4.40
108,INDIANA-Total .....................................,"4,238","2,904",68.5,1.62,"2,367",55.8,1.73
109,Male......................................,"2,037","1,391",68.3,2.33,"1,131",55.5,2.49
110,Female ...................................,"2,201","1,513",68.7,2.24,"1,236",56.1,2.39
111,White.....................................,"3,884","2,700",69.5,1.67,"2,221",57.2,1.80
112,Black .....................................,317,185,58.4,7.59,136,43.1,7.62
113,Hispanic origin1 ............................,60,38,(B),(B),22,(B),(B)
115,IOWA-Total .....................................,"2,113","1,543",73.0,1.46,"1,291",61.1,1.60
116,Male......................................,"1,022",730,71.4,2.13,623,61.0,2.30
117,Female ...................................,"1,091",813,74.5,1.99,668,61.2,2.23
118,White.....................................,"1,999","1,497",74.9,1.46,"1,265",63.3,1.63
119,Black .....................................,45,23,(B),(B),20,(B),(B)
120,Hispanic origin1 ............................,24,12,(B),(B),6,(B),(B)
122,KANSAS-Total .....................................,"1,823","1,257",68.9,1.53,"1,129",62.0,1.61
123,Male......................................,863,591,68.5,2.24,534,61.9,2.34
124,Female ...................................,959,666,69.4,2.10,596,62.1,2.21
125,White.....................................,"1,655","1,163",70.3,1.59,"1,051",63.5,1.67
126,Black .....................................,107,63,59.4,8.13,53,50.0,8.28
127,Hispanic origin1 ............................,35,9,(B),(B),9,(B),(B)
129,KENTUCKY-Total .....................................,"2,906","2,017",69.4,1.53,"1,535",52.8,1.65
130,Male......................................,"1,339",910,67.9,2.28,686,51.3,2.44
131,Female ...................................,"1,567","1,108",70.7,2.05,848,54.1,2.25
132,White.....................................,"2,647","1,862",70.3,1.58,"1,419",53.6,1.73
133,Black .....................................,238,147,61.7,6.81,107,45.1,6.97
134,Hispanic origin1 ............................,8,3,(B),(B),3,(B),(B)
136,LOUISIANA-Total .....................................,"3,098","2,275",73.4,1.57,"1,915",61.8,1.72
137,Male......................................,"1,436","1,041",72.5,2.32,866,60.3,2.55
138,Female ...................................,"1,662","1,234",74.2,2.12,"1,049",63.1,2.33
139,White.....................................,"2,165","1,613",74.5,1.85,"1,355",62.6,2.05
140,Black .....................................,908,653,71.9,3.56,553,60.9,3.87
141,Hispanic origin1 ............................,60,24,(B),(B),13,(B),(B)
143,MAINE-Total .....................................,926,755,81.5,1.34,626,67.7,1.62
144,Male......................................,457,364,79.6,1.98,305,66.8,2.32
145,Female ...................................,469,391,83.3,1.81,321,68.5,2.25
146,White.....................................,918,751,81.8,1.34,623,67.8,1.62
147,Black .....................................,1,1,(B),(B),1,(B),(B)
148,Hispanic origin1 ............................,2,2,(B),(B),1,(B),(B)
150,MARYLAND-Total .....................................,"3,766","2,481",65.9,1.65,"2,048",54.4,1.74
151,Male......................................,"1,821","1,183",64.9,2.39,974,53.5,2.50
152,Female ...................................,"1,944","1,298",66.8,2.29,"1,075",55.3,2.41
153,White.....................................,"2,758","1,814",65.8,1.93,"1,508",54.7,2.03
154,Black .....................................,881,619,70.3,3.99,502,56.9,4.32
155,Hispanic origin1 ............................,149,61,40.8,13.52,61,40.8,13.52
157,MASSACHUSETTS-Total .....................................,"4,560","3,040",66.7,.85,"2,569",56.3,.89
158,Male......................................,"2,157","1,390",64.4,1.25,"1,147",53.2,1.30
159,Female ...................................,"2,403","1,650",68.7,1.15,"1,422",59.2,1.22
160,White.....................................,"4,187","2,875",68.7,.87,"2,438",58.2,.92
161,Black .....................................,228,125,54.8,4.84,98,43.0,4.81
162,Hispanic origin1 ............................,161,48,29.7,6.86,36,22.3,6.25
164,MICHIGAN-Total .....................................,"7,018","5,052",72.0,.80,"4,080",58.1,.88
165,Male......................................,"3,370","2,355",69.9,1.17,"1,865",55.3,1.27
166,Female ...................................,"3,649","2,697",73.9,1.08,"2,215",60.7,1.20
167,White.....................................,"5,992","4,328",72.2,.86,"3,483",58.1,.95
168,Black .....................................,838,633,75.5,2.67,528,63.0,3.00
169,Hispanic origin1 ............................,165,87,52.8,9.09,65,39.2,8.89
171,MINNESOTA-Total .....................................,"3,375","2,644",78.3,1.41,"2,259",66.9,1.61
172,Male......................................,"1,689","1,263",74.8,2.10,"1,062",62.9,2.33
173,Female ...................................,"1,686","1,381",81.9,1.86,"1,197",71.0,2.19
174,White.....................................,"3,202","2,551",79.7,1.41,"2,181",68.1,1.63
175,Black .....................................,64,31,(B),(B),28,(B),(B)
176,Hispanic origin1 ............................,82,12,(B),(B),10,(B),(B)
178,MISSISSIPPI-Total .....................................,"1,942","1,389",71.6,1.45,"1,069",55.1,1.60
179,Male......................................,905,637,70.4,2.15,495,54.7,2.34
180,Female ...................................,"1,037",753,72.6,1.96,575,55.4,2.18
181,White.....................................,"1,256",942,75.0,1.73,745,59.3,1.96
182,Black .....................................,660,445,67.4,3.12,322,48.8,3.33
183,Hispanic origin1 ............................,10,3,(B),(B),3,(B),(B)
185,MISSOURI-Total .....................................,"3,925","2,964",75.5,1.49,"2,397",61.1,1.69
186,Male......................................,"1,856","1,346",72.5,2.25,"1,094",58.9,2.48
187,Female ...................................,"2,070","1,619",78.2,1.97,"1,303",63.0,2.31
188,White.....................................,"3,546","2,730",77.0,1.54,"2,204",62.2,1.77
189,Black .....................................,361,224,62.0,6.72,182,50.5,6.93
190,Hispanic origin1 ............................,75,30,(B),(B),26,(B),(B)
192,MONTANA-Total .....................................,649,487,75.1,1.37,437,67.3,1.49
193,Male......................................,326,236,72.4,2.00,209,64.0,2.15
194,Female ...................................,322,251,77.8,1.87,228,70.7,2.05
195,White.....................................,607,461,75.9,1.40,413,68.1,1.53
196,Black .....................................,3,2,(B),(B),2,(B),(B)
197,Hispanic origin1 ............................,9,5,(B),(B),3,(B),(B)
199,NEBRASKA-Total .....................................,"1,181",875,74.1,1.41,720,61.0,1.57
200,Male......................................,559,410,73.4,2.07,337,60.3,2.29
201,Female ...................................,622,464,74.6,1.93,383,61.6,2.16
202,White.....................................,"1,118",848,75.8,1.42,700,62.6,1.60
203,Black .....................................,32,19,(B),(B),14,(B),(B)
204,Hispanic origin1 ............................,34,8,(B),(B),6,(B),(B)
206,NEVADA-Total .....................................,"1,176",694,59.0,1.50,562,47.8,1.52
207,Male......................................,587,316,53.8,2.15,248,42.2,2.13
208,Female ...................................,589,378,64.2,2.06,314,53.4,2.15
209,White.....................................,"1,083",638,58.9,1.56,526,48.6,1.59
210,Black .....................................,56,35,(B),(B),24,(B),(B)
211,Hispanic origin1 ............................,162,31,19.2,5.08,22,13.4,4.40
213,NEW-HAMPSHIRE-Total .....................................,862,618,71.7,1.70,518,60.1,1.84
214,Male......................................,405,289,71.4,2.48,249,61.6,2.67
215,Female ...................................,457,329,71.9,2.32,269,58.8,2.54
216,White.....................................,849,611,71.9,1.70,512,60.3,1.85
217,Black .....................................,7,3,(B),(B),3,(B),(B)
218,Hispanic origin1 ............................,4,3,(B),(B),3,(B),(B)
220,NEW-JERSEY-Total .....................................,"5,944","3,765",63.3,.84,"3,251",54.7,.87
221,Male......................................,"2,865","1,784",62.3,1.22,"1,556",54.3,1.26
222,Female ...................................,"3,079","1,981",64.3,1.17,"1,696",55.1,1.21
223,White.....................................,"4,876","3,216",66.0,.92,"2,783",57.1,.96
224,Black .....................................,766,480,62.7,2.86,412,53.8,2.94
225,Hispanic origin1 ............................,670,284,42.4,4.05,248,37.1,3.96
227,NEW-MEXICO-Total .....................................,"1,213",749,61.7,1.55,627,51.7,1.60
228,Male......................................,590,349,59.1,2.25,286,48.5,2.29
229,Female ...................................,623,400,64.2,2.14,341,54.7,2.22
230,White.....................................,"1,088",682,62.7,1.63,580,53.3,1.68
231,Black .....................................,14,11,(B),(B),10,(B),(B)
232,Hispanic origin1 ............................,476,252,52.9,4.00,206,43.4,3.97
234,NEW-YORK-Total .....................................,"13,408","8,176",61.0,.65,"6,830",50.9,.67
235,Male......................................,"6,191","3,644",58.9,.97,"3,058",49.4,.99
236,Female ...................................,"7,218","4,533",62.8,.88,"3,772",52.3,.91
237,White.....................................,"10,474","6,816",65.1,.72,"5,768",55.1,.76
238,Black .....................................,"2,218","1,164",52.5,1.99,940,42.4,1.97
239,Hispanic origin1 ............................,"1,794",679,37.8,2.79,513,28.6,2.60
241,NORTH-CAROLINA-Total .....................................,"5,364","3,673",68.5,.77,"2,897",54.0,.83
242,Male......................................,"2,553","1,741",68.2,1.12,"1,352",53.0,1.20
243,Female ...................................,"2,811","1,932",68.7,1.06,"1,544",54.9,1.14
244,White.....................................,"4,165","2,930",70.4,.86,"2,351",56.4,.93
245,Black .....................................,"1,007",660,65.5,2.20,490,48.7,2.32
246,Hispanic origin1 ............................,135,13,9.7,4.87,10,7.7,4.39
248,NORTH-DAKOTA-Total .....................................,456,412,90.5,.97,300,65.8,1.56
249,Male......................................,227,204,90.0,1.40,149,65.5,2.22
250,Female ...................................,228,208,91.0,1.33,151,66.1,2.20
251,White.....................................,443,401,90.6,.98,294,66.4,1.58
252,Black .....................................,1,1,(B),(B),1,(B),(B)
253,Hispanic origin1 ............................,3,2,(B),(B),1,(B),(B)
255,OHIO-Total .....................................,"8,192","5,604",68.4,.81,"4,811",58.7,.86
256,Male......................................,"3,858","2,611",67.7,1.19,"2,228",57.8,1.25
257,Female ...................................,"4,334","2,993",69.1,1.11,"2,582",59.6,1.18
258,White.....................................,"7,210","5,087",70.5,.85,"4,381",60.8,.91
259,Black .....................................,860,488,56.8,3.22,406,47.3,3.25
260,Hispanic origin1 ............................,76,35,(B),(B),30,(B),(B)
262,OKLAHOMA-Total .....................................,"2,356","1,652",70.1,1.54,"1,379",58.5,1.65
263,Male......................................,"1,064",711,66.9,2.35,602,56.6,2.48
264,Female ...................................,"1,292",941,72.8,2.02,777,60.1,2.22
265,White.....................................,"1,937","1,381",71.3,1.68,"1,172",60.5,1.81
266,Black .....................................,219,147,67.1,6.26,114,52.0,6.65
267,Hispanic origin1 ............................,41,13,(B),(B),11,(B),(B)
269,OREGON-Total .....................................,"2,395","1,746",72.9,1.53,"1,462",61.1,1.68
270,Male......................................,"1,185",823,69.4,2.26,686,57.9,2.42
271,Female ...................................,"1,210",923,76.3,2.06,776,64.2,2.33
272,White.....................................,"2,279","1,678",73.7,1.56,"1,405",61.6,1.72
273,Black .....................................,48,39,(B),(B),34,(B),(B)
274,Hispanic origin1 ............................,111,31,28.3,11.36,16,14.5,8.88
276,PENNSYVANNIA-Total .....................................,"8,996","5,902",65.6,.82,"4,951",55.0,.86
277,Male......................................,"4,282","2,871",67.0,1.18,"2,428",56.7,1.24
278,Female ...................................,"4,714","3,031",64.3,1.15,"2,523",53.5,1.19
279,White.....................................,"8,070","5,328",66.0,.87,"4,463",55.3,.91
280,Black .....................................,785,528,67.3,3.33,453,57.7,3.50
281,Hispanic origin1 ............................,171,95,55.5,9.80,64,37.5,9.55
283,RHODE-ISLAND-Total .....................................,725,519,71.7,1.73,439,60.6,1.87
284,Male......................................,336,237,70.4,2.57,201,59.8,2.76
285,Female ...................................,389,283,72.7,2.33,238,61.3,2.55
286,White.....................................,676,503,74.4,1.73,424,62.7,1.92
287,Black .....................................,38,11,(B),(B),10,(B),(B)
288,Hispanic origin1 ............................,29,8,(B),(B),7,(B),(B)
290,SOUTH-CAROLINA-Total .....................................,"2,716","1,851",68.2,1.40,"1,479",54.5,1.49
291,Male......................................,"1,269",840,66.2,2.08,660,52.0,2.19
292,Female ...................................,"1,447","1,011",69.9,1.89,819,56.6,2.04
293,White.....................................,"2,005","1,399",69.7,1.60,"1,127",56.2,1.73
294,Black .....................................,677,436,64.3,3.48,338,49.9,3.63
295,Hispanic origin1 ............................,18,6,(B),(B),6,(B),(B)
297,SOUTH-DAKOTA-Total .....................................,523,391,74.8,1.32,336,64.3,1.46
298,Male......................................,257,185,72.3,1.94,161,62.6,2.10
299,Female ...................................,266,205,77.2,1.79,175,66.0,2.02
300,White.....................................,492,373,75.8,1.34,323,65.6,1.49
301,Black .....................................,2,1,(B),(B),1,(B),(B)
302,Hispanic origin1 ............................,4,1,(B),(B),1,(B),(B)
304,TENNESSEE-Total .....................................,"4,014","2,647",65.9,1.47,"2,133",53.1,1.55
305,Male......................................,"1,948","1,276",65.5,2.12,"1,032",53.0,2.22
306,Female ...................................,"2,066","1,372",66.4,2.04,"1,100",53.3,2.16
307,White.....................................,"3,272","2,170",66.3,1.62,"1,728",52.8,1.72
308,Black .....................................,717,471,65.7,4.22,401,56.0,4.41
309,Hispanic origin1 ............................,33,9,(B),(B),3,(B),(B)
311,TEXAS-Total .....................................,"13,431","8,316",61.9,.82,"6,210",46.2,.84
312,Male......................................,"6,543","4,001",61.2,1.17,"2,929",44.8,1.20
313,Female ...................................,"6,888","4,315",62.6,1.13,"3,281",47.6,1.17
314,White.....................................,"11,545","7,234",62.7,.88,"5,392",46.7,.90
315,Black .....................................,"1,446",914,63.2,2.99,681,47.1,3.09
316,Hispanic origin1 ............................,"3,804","1,623",42.7,2.45,"1,060",27.9,2.22
318,UTAH-Total .....................................,"1,334",861,64.5,1.54,707,53.0,1.61
319,Male......................................,651,396,60.8,2.25,329,50.6,2.30
320,Female ...................................,683,465,68.0,2.10,378,55.4,2.24
321,White.....................................,"1,295",847,65.4,1.55,698,53.9,1.63
322,Black .....................................,8,2,(B),(B),2,(B),(B)
323,Hispanic origin1 ............................,87,33,(B),(B),25,(B),(B)
325,VERMONT-Total .....................................,434,313,72.0,1.69,258,59.5,1.84
326,Male......................................,215,149,69.5,2.46,120,55.8,2.65
327,Female ...................................,220,164,74.4,2.30,139,63.1,2.55
328,White.....................................,429,310,72.3,1.69,256,59.6,1.85
329,Black .....................................,1,1,(B),(B),1,(B),(B)
330,Hispanic origin1 ............................,3,3,(B),(B),3,(B),(B)
332,VIRGINIA-Total .....................................,"4,955","3,294",66.5,1.37,"2,796",56.4,1.44
333,Male......................................,"2,303","1,470",63.8,2.05,"1,240",53.9,2.13
334,Female ...................................,"2,652","1,823",68.8,1.84,"1,556",58.7,1.96
335,White.....................................,"3,768","2,576",68.4,1.55,"2,206",58.5,1.64
336,Black .....................................,"1,029",659,64.0,3.71,548,53.3,3.85
337,Hispanic origin1 ............................,124,34,27.4,12.89,31,24.8,12.47
339,WASHINGTON-Total .....................................,"4,059","2,840",70.0,1.46,"2,436",60.0,1.56
340,Male......................................,"2,001","1,365",68.2,2.12,"1,157",57.8,2.24
341,Female ...................................,"2,058","1,475",71.7,2.02,"1,279",62.2,2.17
342,White.....................................,"3,779","2,686",71.1,1.50,"2,306",61.0,1.61
343,Black .....................................,52,38,(B),(B),38,(B),(B)
344,Hispanic origin1 ............................,167,54,32.1,11.53,50,30.2,11.34
346,WEST-VIRGINIA-Total .....................................,"1,423",921,64.7,1.58,715,50.2,1.65
347,Male......................................,658,413,62.8,2.35,321,48.8,2.43
348,Female ...................................,765,508,66.4,2.13,393,51.4,2.26
349,White.....................................,"1,368",900,65.8,1.60,706,51.6,1.69
350,Black .....................................,41,19,(B),(B),8,(B),(B)
351,Hispanic origin1 ............................,3,1,(B),(B),1,(B),(B)
353,WISCONSIN-Total .....................................,"3,736","2,900",77.6,1.31,"2,330",62.4,1.52
354,Male......................................,"1,877","1,428",76.1,1.89,"1,130",60.2,2.17
355,Female ...................................,"1,859","1,471",79.1,1.81,"1,200",64.6,2.13
356,White.....................................,"3,493","2,772",79.4,1.32,"2,242",64.2,1.56
357,Black .....................................,137,97,70.8,9.03,76,55.6,9.87
358,Hispanic origin1 ............................,98,33,(B),(B),24,(B),(B)
360,WYOMING-Total .....................................,347,247,71.2,1.77,230,66.2,1.85
361,Male......................................,169,119,70.5,2.56,110,65.0,2.67
362,Female ...................................,179,129,71.9,2.44,120,67.3,2.55
363,White.....................................,339,244,71.8,1.78,227,66.9,1.86
364,Black .....................................,2,–,(B),(B),–,(B),(B)
365,Hispanic origin1 ............................,16,7,(B),(B),6,(B),(B)
