53,,Black alone or in combination,336,325,184,54.7,8.6,56.6,8.8,135,40.2,8.5,41.6,8.7
54,,Asian alone or in combination,53,31,18,B,B,B,B,7,B,B,B,B
55,CALIFORNIA,Total,"30,243","25,525","15,690",51.9,1.0,61.5,1.0,"13,240",43.8,0.9,51.9,1.0
56,,Male,"14,767","12,449","7,372",49.9,1.4,59.2,1.5,"6,205",42.0,1.3,49.8,1.5
57,,Female,"15,476","13,076","8,318",53.8,1.3,63.6,1.4,"7,035",45.5,1.3,53.8,1.4
58,,White alone,"21,467","18,311","11,711",54.6,1.1,64.0,1.2,"10,005",46.6,1.1,54.6,1.2
59,,White non-Hispanic alone,"11,986","11,587","8,005",66.8,1.4,69.1,1.4,"7,116",59.4,1.5,61.4,1.5
60,,Black alone,"1,912","1,845","1,061",55.5,4.6,57.5,4.6,933,48.8,4.6,50.6,4.7
61,,Asian alone,"5,222","3,983","2,061",39.5,2.8,51.7,3.3,"1,620",31.0,2.7,40.7,3.3
62,,Hispanic (of any race),"10,595","7,613","4,211",39.7,2.5,55.3,3.0,"3,300",31.1,2.3,43.3,3.0
63,,White alone or in combination,"22,303","19,010","12,125",54.4,1.1,63.8,1.2,"10,332",46.3,1.1,54.3,1.2
64,,Black alone or in combination,"2,094","1,999","1,154",55.1,4.4,57.7,4.4,998,47.6,4.4,49.9,4.5
65,,Asian alone or in combination,"5,571","4,320","2,278",40.9,2.8,52.7,3.2,"1,795",32.2,2.6,41.5,3.1
66,COLORADO,Total,"4,353","4,029","2,645",60.8,2.5,65.6,2.5,"2,342",53.8,2.5,58.1,2.6
67,,Male,"2,171","2,004","1,315",60.6,3.5,65.6,3.5,"1,144",52.7,3.6,57.1,3.7
68,,Female,"2,182","2,025","1,330",61.0,3.5,65.7,3.5,"1,198",54.9,3.5,59.2,3.6
69,,White alone,"3,911","3,666","2,439",62.4,2.6,66.5,2.6,"2,185",55.9,2.6,59.6,2.7
70,,White non-Hispanic alone,"3,136","3,107","2,141",68.3,2.8,68.9,2.8,"1,945",62.0,2.9,62.6,2.9
71,,Black alone,185,170,73,39.6,14.5,43.1,15.3,51,27.8,13.3,30.3,14.2
72,,Asian alone,156,93,75,47.7,16.8,80.6,17.3,66,42.3,16.6,71.5,19.7
73,,Hispanic (of any race),806,590,323,40.1,9.0,54.8,10.7,259,32.1,8.6,43.9,10.7
74,,White alone or in combination,"3,998","3,753","2,486",62.2,2.6,66.2,2.6,"2,213",55.4,2.6,59.0,2.7
75,,Black alone or in combination,219,204,88,40.3,13.3,43.3,14.0,63,28.8,12.3,31.0,13.0
76,,Asian alone or in combination,185,121,89,48.3,15.5,73.8,16.8,73,39.2,15.1,60.0,18.7
77,CONNECTICUT,Total,"2,834","2,539","1,726",60.9,2.6,68.0,2.7,"1,370",48.3,2.7,54.0,2.9
