year,NEW JERSEY FEMALE
1994,1266
1996,1696
1998,1114
2000,1772
2002,1325
2004,2017
2006,1285
2008,1929
2010,1293
2012,1994
2014,1182
2016,1997
2018,1808
2020,2445
