year,DISTRICT OF COLUMBIA HISPANIC ORIGIN
1994,5
1996,7
1998,123
2000,6
2002,4
2004,9
2006,4
2008,11
2010,8
2012,13
2014,13
2016,18
2018,20
2020,26
