year,NEW MEXICO BLACK
1994,4.0
1996,10.0
1998,523.0
2000,9.0
2002,18.0
2004,23.0
2006,10.0
2008,20.0
2010,
2012,24.0
2014,8.0
2016,22.0
2018,9.0
2020,21.0
