year,SOUTH CAROLINA TOTAL
1994,1217
1996,1479
1998,1328
2000,1725
2002,1353
2004,1899
2006,1376
2008,2100
2010,1700
2012,2187
2014,1514
2016,2233
2018,1836
2020,2459
