year,UNITED STATES HISPANIC ORIGIN
1994,3522
1996,4928
1998,9223
2000,5934
2002,4747
2004,7587
2006,5595
2008,9745
2010,6646
2012,11188
2014,6775
2016,12682
2018,11695
2020,16459
