year,ALABAMA HISPANIC ORIGIN
1994,6.0
1996,3.0
1998,431.0
2000,10.0
2002,
2004,2.0
2006,13.0
2008,4.0
2010,14.0
2012,
2014,3.0
2016,27.0
2018,22.0
2020,30.0
