year,PENNSYLVANIA FEMALE
1994,1968
1996,2523
1998,1845
2000,2615
2002,2043
2004,3105
2006,2302
2008,3083
2010,2148
2012,3084
2014,2035
2016,3215
2018,2728
2020,3564
