year,PENNSYLVANIA WHITE
1994,3404
1996,4463
1998,41
2000,4482
2002,3568
2004,5291
2006,4027
2008,5126
2010,3674
2012,5074
2014,3375
2016,5153
2018,4461
2020,5875
