year,SOUTH DAKOTA BLACK
1994,1.0
1996,1.0
1998,262.0
2000,1.0
2002,2.0
2004,
2006,
2008,2.0
2010,1.0
2012,
2014,3.0
2016,3.0
2018,1.0
2020,4.0
