year,PENNSYLVANIA MALE
1994,1886
1996,2428
1998,1658
2000,2373
2002,1882
2004,2740
2006,2091
2008,2664
2010,1956
2012,2740
2014,1768
2016,2793
2018,2445
2020,3192
