year,PENNSYLVANIA TOTAL
1994,3854
1996,4951
1998,3503
2000,4988
2002,3925
2004,5845
2006,4394
2008,5747
2010,4104
2012,5824
2014,3803
2016,6008
2018,5173
2020,6756
