year,NEW YORK FEMALE/Predictions
1994,7221
1996,7218
1998,6953
2000,7112
2002,7518
2004,7627
2006,7544
2008,7666
2010,7837
2012,7916
2014,7980
2016,8116
2018,8113
2020,7941
2022,8260
2024,8344
2026,8429
2028,8514
2030,8598
