year,IDAHO TOTAL/Predictions
1994,798
1996,835
1998,881
2000,927
2002,950
2004,996
2006,1064
2008,1095
2010,1114
2012,1129
2014,1182
2016,1224
2018,1299
2020,1370
2022,1369
2024,1410
2026,1451
2028,1493
2030,1534
