year,DELAWARE FEMALE/Predictions
1994,276
1996,280
1998,281
2000,299
2002,318
2004,320
2006,339
2008,339
2010,349
2012,363
2014,375
2016,387
2018,397
2020,404
2022,415
2024,426
2026,436
2028,447
2030,457
