year,MISSISSIPPI WHITE/Predictions
1994,1114
1996,1256
1998,22
2000,1394
2002,1350
2004,1335
2006,1314
2008,1360
2010,1324
2012,1355
2014,1352
2016,1377
2018,1353
2020,1350
2022,1497
2024,1532
2026,1568
2028,1603
2030,1638
