year,IDAHO FEMALE/Predictions
1994,402
1996,426
1998,431
2000,480
2002,493
2004,509
2006,541
2008,556
2010,568
2012,577
2014,597
2016,618
2018,654
2020,691
2022,693
2024,713
2026,734
2028,755
2030,775
