year,NEW JERSEY MALE/Predictions
1994,2817
1996,2865
1998,2877
2000,2919
2002,3252
2004,3052
2006,3114
2008,3124
2010,3169
2012,3215
2014,3277
2016,3282
2018,3348
2020,3281
2022,3405
2024,3443
2026,3482
2028,3521
2030,3560
