year,NORTH DAKOTA TOTAL/Predictions
1994,441
1996,456
1998,460
2000,449
2002,492
2004,466
2006,484
2008,484
2010,488
2012,528
2014,567
2016,583
2018,560
2020,571
2022,584
2024,595
2026,606
2028,617
2030,628
