year,MAINE FEMALE/Predictions
1994,474
1996,469
1998,480
2000,514
2002,538
2004,529
2006,535
2008,529
2010,535
2012,533
2014,549
2016,548
2018,546
2020,564
2022,571
2024,577
2026,584
2028,590
2030,596
