year,MAINE WHITE/Predictions
1994,895
1996,918
1998,3
2000,966
2002,1026
2004,990
2006,1010
2008,981
2010,1004
2012,1001
2014,1009
2016,1001
2018,1011
2020,1036
2022,1116
2024,1142
2026,1169
2028,1195
2030,1221
