year,NEVADA BLACK/Predictions
1994,80
1996,56
1998,1128
2000,112
2002,91
2004,113
2006,137
2008,148
2010,148
2012,169
2014,193
2016,182
2018,197
2020,233
2022,149
2024,140
2026,131
2028,123
2030,114
