year,OHIO FEMALE/Predictions
1994,4334
1996,4334
1998,4376
2000,4385
2002,4557
2004,4432
2006,4436
2008,4431
2010,4506
2012,4576
2014,4575
2016,4593
2018,4579
2020,4640
2022,4651
2024,4674
2026,4696
2028,4719
2030,4741
