year,NEVADA WHITE/Predictions
1994,944
1996,1083
1998,201
2000,1144
2002,1362
2004,1445
2006,1490
2008,1572
2010,1534
2012,1627
2014,1571
2016,1730
2018,1731
2020,1691
2022,1947
2024,2024
2026,2102
2028,2179
2030,2257
