year,VERMONT WHITE/Predictions
1994,426
1996,429
1998,2
2000,454
2002,482
2004,463
2006,473
2008,471
2010,473
2012,470
2014,475
2016,468
2018,478
2020,477
2022,522
2024,534
2026,546
2028,558
2030,570
