year,NEVADA FEMALE/Predictions
1994,542
1996,589
1998,644
2000,683
2002,807
2004,842
2006,913
2008,964
2010,968
2012,1024
2014,1073
2016,1136
2018,1179
2020,1210
2022,1291
2024,1343
2026,1396
2028,1448
2030,1500
