year,NEVADA HISPANIC ORIGIN/Predictions
1994,137
1996,162
1998,88
2000,220
2002,325
2004,301
2006,375
2008,392
2010,399
2012,464
2014,527
2016,517
2018,584
2020,654
2022,670
2024,710
2026,751
2028,791
2030,832
