year,DELAWARE TOTAL/Predictions
1994,528
1996,536
1998,555
2000,567
2002,590
2004,612
2006,647
2008,648
2010,667
2012,693
2014,712
2016,729
2018,756
2020,766
2022,787
2024,807
2026,826
2028,845
2030,865
