year,ILLINOIS WHITE/Predictions
1994,6916
1996,7068
1998,755
2000,7174
2002,7820
2004,7648
2006,7585
2008,7750
2010,7799
2012,7673
2014,7648
2016,7647
2018,7564
2020,7551
2022,8343
2024,8517
2026,8690
2028,8864
2030,9037
