year,CONNECTICUT BLACK/Predictions
1994,167
1996,272
1998,2194
2000,317
2002,267
2004,233
2006,243
2008,251
2010,247
2012,279
2014,291
2016,297
2018,319
2020,323
2022,166
2024,134
2026,102
2028,70
2030,38
