year,TENNESSEE FEMALE/Predictions
1994,2046
1996,2066
1998,2140
2000,2137
2002,2237
2004,2283
2006,2372
2008,2472
2010,2466
2012,2548
2014,2609
2016,2639
2018,2701
2020,2738
2022,2817
2024,2874
2026,2932
2028,2989
2030,3046
