year,MICHIGAN FEMALE/Predictions
1994,3605
1996,3649
1998,3736
2000,3713
2002,3933
2004,3848
2006,3878
2008,3877
2010,3907
2012,3895
2014,3961
2016,3974
2018,3970
2020,3995
2022,4058
2024,4085
2026,4113
2028,4140
2030,4167
