year,NEW YORK WHITE/Predictions
1994,11083
1996,10474
1998,1984
2000,10602
2002,10901
2004,11055
2006,10793
2008,10972
2010,11336
2012,10925
2014,11147
2016,11101
2018,11157
2020,10551
2022,11735
2024,11928
2026,12120
2028,12313
2030,12505
