year,RHODE ISLAND WHITE/Predictions
1994,684
1996,676
1998,36
2000,670
2002,730
2004,732
2006,723
2008,730
2010,720
2012,713
2014,717
2016,699
2018,724
2020,742
2022,787
2024,803
2026,819
2028,836
2030,852
