year,KANSAS FEMALE/Predictions
1994,929
1996,959
1998,969
2000,981
2002,1045
2004,1019
2006,1040
2008,1045
2010,1038
2012,1091
2014,1088
2016,1094
2018,1100
2020,1101
2022,1133
2024,1146
2026,1159
2028,1173
2030,1186
