year,MONTANA FEMALE/Predictions
1994,315
1996,322
1998,331
2000,329
2002,340
2004,352
2006,370
2008,373
2010,381
2012,389
2014,396
2016,399
2018,417
2020,422
2022,430
2024,438
2026,447
2028,455
2030,464
