year,NORTH DAKOTA BLACK/Predictions
1994,1
1996,1
1998,438
2000,2
2002,2
2004,3
2006,1
2008,5
2010,4
2012,6
2014,10
2016,15
2018,14
2020,13
2022,-19
2024,-27
2026,-34
2028,-42
2030,-49
