year,UNITED STATES WHITE/Predictions
1994,160317
1996,162779
1998,20321
2000,168733
2002,174099
2004,176618
2006,179873
2008,183169
2010,185804
2012,187084
2014,189331
2016,192129
2018,194127
2020,195227
2022,211866
2024,217547
2026,223228
2028,228909
2030,234590
