year,OREGON TOTAL/Predictions
1994,2309
1996,2395
1998,2474
2000,2515
2002,2625
2004,2727
2006,2802
2008,2904
2010,2974
2012,2998
2014,3078
2016,3185
2018,3293
2020,3369
2022,3437
2024,3517
2026,3598
2028,3679
2030,3759
