year,MAINE HISPANIC ORIGIN/Predictions
1994,4
1996,2
1998,4
2000,4
2002,5
2004,9
2006,3
2008,17
2010,6
2012,10
2014,10
2016,20
2018,11
2020,11
2022,14
2024,15
2026,16
2028,17
2030,18
