year,KENTUCKY MALE/Predictions
1994,1328
1996,1339
1998,1445
2000,1398
2002,1448
2004,1454
2006,1520
2008,1525
2010,1552
2012,1581
2014,1597
2016,1614
2018,1627
2020,1616
2022,1680
2024,1704
2026,1728
2028,1752
2030,1775
