year,NEW YORK BLACK/Predictions
1994,1840
1996,2218
1998,10598
2000,2181
2002,2312
2004,2354
2006,2292
2008,2350
2010,2478
2012,2482
2014,2581
2016,2610
2018,2570
2020,2554
2022,2057
2024,1937
2026,1817
2028,1697
2030,1577
