year,HAWAII FEMALE/Predictions
1994,450
1996,444
1998,459
2000,442
2002,456
2004,490
2006,507
2008,499
2010,494
2012,520
2014,533
2016,545
2018,553
2020,546
2022,564
2024,573
2026,582
2028,592
2030,601
