year,ILLINOIS FEMALE/Predictions
1994,4485
1996,4435
1998,4472
2000,4652
2002,4898
2004,4835
2006,4822
2008,4897
2010,4958
2012,5013
2014,5042
2016,5031
2018,5021
2020,4987
2022,5183
2024,5231
2026,5279
2028,5326
2030,5374
