year,KANSAS BLACK/Predictions
1994,103
1996,107
1998,1708
2000,103
2002,139
2004,99
2006,99
2008,120
2010,113
2012,105
2014,129
2016,121
2018,129
2020,106
2022,-2
2024,-32
2026,-63
2028,-94
2030,-124
