year,SOUTH CAROLINA FEMALE/Predictions
1994,1420
1996,1447
1998,1489
2000,1575
2002,1557
2004,1620
2006,1677
2008,1749
2010,1818
2012,1856
2014,1937
2016,1959
2018,2066
2020,2123
2022,2145
2024,2199
2026,2254
2028,2309
2030,2363
