year,NEW MEXICO HISPANIC ORIGIN/Predictions
1994,399
1996,476
1998,16
2000,484
2002,551
2004,544
2006,519
2008,640
2010,610
2012,624
2014,601
2016,705
2018,666
2020,636
2022,745
2024,774
2026,802
2028,830
2030,859
