year,IOWA FEMALE/Predictions
1994,1044
1996,1091
1998,1085
2000,1061
2002,1129
2004,1139
2006,1148
2008,1147
2010,1164
2012,1186
2014,1182
2016,1221
2018,1201
2020,1194
2022,1234
2024,1246
2026,1258
2028,1271
2030,1283
