year,IOWA MALE/Predictions
1994,1015
1996,1022
1998,1017
2000,1049
2002,1023
2004,1073
2006,1104
2008,1097
2010,1114
2012,1135
2014,1154
2016,1172
2018,1176
2020,1167
2022,1200
2024,1215
2026,1229
2028,1243
2030,1257
