year,KENTUCKY WHITE/Predictions
1994,2596
1996,2647
1998,21
2000,2738
2002,2751
2004,2775
2006,2878
2008,2886
2010,2995
2012,2966
2014,2943
2016,3014
2018,3014
2020,2994
2022,3306
2024,3393
2026,3479
2028,3565
2030,3652
