year,NEW YORK HISPANIC ORIGIN/Predictions
1994,1529
1996,1794
1998,2082
2000,1706
2002,1898
2004,1976
2006,2054
2008,2042
2010,2389
2012,2363
2014,2394
2016,2346
2018,2604
2020,2330
2022,2603
2024,2669
2026,2735
2028,2801
2030,2867
