year,FLORIDA TOTAL/Predictions
1994,10582
1996,10886
1998,11275
2000,11633
2002,12539
2004,13133
2006,13929
2008,14069
2010,14227
2012,15034
2014,15414
2016,16202
2018,16845
2020,17244
2022,17723
2024,18248
2026,18773
2028,19298
2030,19823
