year,MARYLAND BLACK/Predictions
1994,948
1996,881
1998,2758
2000,1165
2002,1045
2004,1070
2006,1162
2008,1177
2010,1217
2012,1276
2014,1325
2016,1386
2018,1414
2020,1421
2022,1342
2024,1347
2026,1353
2028,1358
2030,1363
