year,SOUTH CAROLINA TOTAL/Predictions
1994,2681
1996,2716
1998,2817
2000,2929
2002,2967
2004,3061
2006,3197
2008,3313
2010,3453
2012,3516
2014,3667
2016,3733
2018,3914
2020,4010
2022,4073
2024,4178
2026,4284
2028,4389
2030,4494
