year,ARKANSAS HISPANIC ORIGIN/Predictions
1994,26
1996,16
1998,318
2000,51
2002,82
2004,73
2006,106
2008,74
2010,83
2012,143
2014,136
2016,135
2018,172
2020,134
2022,149
2024,154
2026,160
2028,165
2030,170
