year,UNITED STATES MALE/Predictions
1994,91006
1996,92632
1998,95187
2000,97087
2002,100939
2004,103812
2006,106531
2008,108974
2010,111098
2012,113243
2014,115637
2016,118488
2018,120573
2020,121870
2022,125625
2024,128117
2026,130610
2028,133102
2030,135594
