year,NEW JERSEY HISPANIC ORIGIN/Predictions
1994,546
1996,670
1998,886
2000,583
2002,927
2004,906
2006,960
2008,1006
2010,1136
2012,1170
2014,1229
2016,1379
2018,1259
2020,1347
2022,1458
2024,1519
2026,1580
2028,1641
2030,1702
