year,NEW JERSEY WHITE/Predictions
1994,4839
1996,4876
1998,630
2000,5033
2002,5461
2004,5174
2006,5025
2008,4991
2010,5115
2012,5173
2014,5146
2016,5237
2018,5227
2020,4900
2022,5519
2024,5618
2026,5718
2028,5817
2030,5917
