year,NEW MEXICO FEMALE/Predictions
1994,609
1996,623
1998,638
2000,670
2002,675
2004,717
2006,748
2008,753
2010,764
2012,799
2014,797
2016,798
2018,815
2020,826
2022,863
2024,880
2026,898
2028,916
2030,933
