year,SOUTH DAKOTA BLACK/Predictions
1994,2
1996,2
1998,498
2000,5
2002,4
2004,2
2006,4
2008,6
2010,7
2012,6
2014,12
2016,11
2018,12
2020,18
2022,-23
2024,-32
2026,-41
2028,-49
2030,-58
