year,NEVADA MALE/Predictions
1994,539
1996,587
1998,654
2000,693
2002,773
2004,856
2006,926
2008,982
2010,989
2012,1015
2014,1055
2016,1098
2018,1145
2020,1192
2022,1269
2024,1319
2026,1369
2028,1419
2030,1469
