year,MONTANA HISPANIC ORIGIN/Predictions
1994,8
1996,9
1998,1
2000,13
2002,12
2004,12
2006,12
2008,15
2010,22
2012,15
2014,16
2016,20
2018,22
2020,20
2022,22
2024,24
2026,25
2028,26
2030,27
